participant_id,session_id,QEI,qc_determination
21713,1,0.8548083057643173,pass
21713,2,0.8291326024632647,pass
21797,1,0.7772658337004331,pass
21827,1,0.7688338488518949,pass
21855,1,0.8220277824169918,pass
21855,2,0.4317061407979509,fail
21856,1,0.7631359933101296,pass
22045,1,0.775561419,pass
22045,2,0.8197427775765378,pass
22064,1,0.8033366095194872,pass
22064,2,0.8073836752749474,pass
22473,1,0.8355116670329346,pass
22473,2,0.8372099147250003,pass
22510,1,0,fail
22520,1,0.798502691,pass
22617,1,0.8283990362498074,pass
22618,2,0.7892567497787097,pass
22653,1,0.8133934978072378,pass
22654,1,0.7086633072232408,pass
22654,2,0.791719477,pass
22670,1,0.8157778125290097,pass
22744,1,0.8028040594300164,pass
22745,1,0.755568986,pass
22797,1,0.8219373776021187,pass
23303,1,0.7312202446314627,pass
23676,1,0.8572163060766468,pass
23698,1,0.7991351327085459,pass
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
