parcel	value	map	abs_value
Parcel_320	-2.0405262	EF	2.0405262
Parcel_268	-2.0061505	EF	2.0061505
Parcel_186	2.0031104	EF	2.0031104
Parcel_376	-1.9962856	EF	1.9962856
Parcel_164	-1.968816	EF	1.968816
Parcel_150	-1.9620657	EF	1.9620657
Parcel_310	1.9395117	EF	1.9395117
Parcel_090	1.9169122	EF	1.9169122
Parcel_172	-1.880625	EF	1.880625
Parcel_227	-1.8747381	EF	1.8747381
Parcel_343	1.8706658	EF	1.8706658
Parcel_331	-1.8524942	EF	1.8524942
Parcel_317	-1.8356946	EF	1.8356946
Parcel_327	-1.8244289	EF	1.8244289
Parcel_400	-1.8050063	EF	1.8050063
Parcel_272	-1.8036464	EF	1.8036464
Parcel_142	1.8034077	EF	1.8034077
Parcel_071	-1.7912731	EF	1.7912731
Parcel_366	-1.7872669	EF	1.7872669
Parcel_115	-1.7831357	EF	1.7831357
Parcel_114	-1.730109	EF	1.730109
Parcel_113	-1.7157732	EF	1.7157732
Parcel_303	-1.6918828	EF	1.6918828
Parcel_353	1.6509384	EF	1.6509384
Parcel_181	-1.6343788	EF	1.6343788
Parcel_116	-1.578157	EF	1.578157
Parcel_326	-1.5280567	EF	1.5280567
Parcel_390	1.5188665	EF	1.5188665
Parcel_301	1.4800305	EF	1.4800305
Parcel_070	-1.4781272	EF	1.4781272
Parcel_180	-1.4714816	EF	1.4714816
Parcel_119	-1.4645091	EF	1.4645091
Parcel_286	1.4215348	EF	1.4215348
Parcel_083	-1.3945198	EF	1.3945198
Parcel_330	-1.393194	EF	1.393194
Parcel_118	-1.3794881	EF	1.3794881
Parcel_151	-1.3182214	EF	1.3182214
Parcel_122	-1.3101019	EF	1.3101019
Parcel_209	-1.3049309	EF	1.3049309
Parcel_290	1.3036906	EF	1.3036906
Parcel_201	-1.3030103	EF	1.3030103
Parcel_136	1.2948098	EF	1.2948098
Parcel_199	1.289654	EF	1.289654
Parcel_292	1.2769885	EF	1.2769885
Parcel_321	-1.2692778	EF	1.2692778
Parcel_271	-1.2572709	EF	1.2572709
Parcel_311	1.2490698	EF	1.2490698
Parcel_319	-1.2268478	EF	1.2268478
Parcel_245	-1.2128962	EF	1.2128962
Parcel_274	-1.204438	EF	1.204438
Parcel_008	-1.1914268	EF	1.1914268
Parcel_318	1.184046	EF	1.184046
Parcel_082	1.1401737	EF	1.1401737
Parcel_061	-1.1191931	EF	1.1191931
Parcel_146	-1.1065135	EF	1.1065135
Parcel_328	-1.1024882	EF	1.1024882
Parcel_391	1.0668033	EF	1.0668033
Parcel_123	-1.0405711	EF	1.0405711
Parcel_322	1.0379848	EF	1.0379848
Parcel_001	-1.0249944	EF	1.0249944
Parcel_103	1.0193719	EF	1.0193719
Parcel_266	-1.0191475	EF	1.0191475
Parcel_365	-0.9922425	EF	0.9922425
Parcel_387	0.97850615	EF	0.97850615
Parcel_344	-0.9704715	EF	0.9704715
Parcel_309	0.96876067	EF	0.96876067
Parcel_134	-0.96023566	EF	0.96023566
Parcel_086	0.9580189	EF	0.9580189
Parcel_283	0.93390274	EF	0.93390274
Parcel_339	-0.91643995	EF	0.91643995
Parcel_182	0.82828283	EF	0.82828283
Parcel_121	-0.817075	EF	0.817075
Parcel_074	-0.7457291	EF	0.7457291
Parcel_187	0.73273706	EF	0.73273706
Parcel_300	-0.69822097	EF	0.69822097
Parcel_031	0.6351097	EF	0.6351097
Parcel_144	0.61220425	EF	0.61220425
Parcel_378	-0.60582554	EF	0.60582554
Parcel_325	-0.60178417	EF	0.60178417
Parcel_230	0.5553655	EF	0.5553655
Parcel_332	0.49650463	EF	0.49650463
Parcel_135	0.4920804	EF	0.4920804
Parcel_359	-0.48727578	EF	0.48727578
Parcel_341	0.48672548	EF	0.48672548
Parcel_110	0.4725517	EF	0.4725517
Parcel_277	0.4698916	EF	0.4698916
Parcel_287	0.4402688	EF	0.4402688
Parcel_028	-0.3910135	EF	0.3910135
Parcel_188	0.3844518	EF	0.3844518
Parcel_129	-0.35349083	EF	0.35349083
Parcel_338	-0.3025121	EF	0.3025121
Parcel_107	0.2826238	EF	0.2826238
Parcel_177	0.2752478	EF	0.2752478
Parcel_347	0.25442258	EF	0.25442258
Parcel_279	-0.23933949	EF	0.23933949
Parcel_079	0.20701943	EF	0.20701943
Parcel_106	0.17125237	EF	0.17125237
Parcel_276	-0.17071714	EF	0.17071714
Parcel_261	-0.16690864	EF	0.16690864
Parcel_342	0.16511767	EF	0.16511767
Parcel_175	-0.16306469	EF	0.16306469
Parcel_105	0.093512915	EF	0.093512915
Parcel_143	-0.08687078	EF	0.08687078
Parcel_348	0.042998247	EF	0.042998247
Parcel_388	0.026648331	EF	0.026648331
Parcel_165	-0.009296048	EF	0.009296048
