Notes	ManualCheck	MergeInto	RenameEntitySet	KeyParamGroup	EntitySet	ParamGroup	ArterialSpinLabelingType	BackgroundSuppression	BackgroundSuppressionNumberPulses	Cluster_EchoTime	Cluster_EffectiveEchoSpacing	Cluster_RepetitionTime	Cluster_TotalReadoutTime	Cluster_VoxelSizeDim1	Cluster_VoxelSizeDim2	Cluster_VoxelSizeDim3	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	EntitySetCount	FlipAngle	HasFieldmap	ImageOrientation	M0Type	Modality	MultibandAccelerationFactor	NSliceTimes	NumVolumes	Obliquity	PCASLType	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
				datatype-perf_run-01_suffix-asl_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime__2	datatype-perf_run-01_suffix-asl_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime	2	PCASL	True	2.0	0.0		9.0		0.0	0.0	0.0	1	64	64	32	0.01		75	90	False	LAS+	Separate	perf		0	80	False	unbalanced		1.0		5.28614		False	3.75	3.75	3.75
				datatype-perf_run-01_suffix-asl_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime__3	datatype-perf_run-01_suffix-asl_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime	3	PCASL	True	2.0	0.0		5.0		0.0	0.0	0.0	1	64	64	32	0.01		75	90	False	LAS+	Separate	perf		0	80	False	unbalanced		1.0		5.92839		False	3.75	3.75	3.75
				datatype-perf_run-01_suffix-asl_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime__4	datatype-perf_run-01_suffix-asl_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime	4	PCASL	True	2.0	0.0		6.0		0.0	0.0	0.0	1	64	64	32	0.01		75	90	False	LAS+	Separate	perf		0	80	False	unbalanced		1.0		4.47108		False	3.75	3.75	3.75
				datatype-perf_run-01_suffix-asl_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime__5	datatype-perf_run-01_suffix-asl_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime	5	PCASL	True	2.0	0.0		8.0		0.0	0.0	0.0	1	64	64	32	0.01		75	90	False	LAS+	Separate	perf		0	80	False	unbalanced		1.0		5.75174		False	3.75	3.75	3.75
				datatype-perf_run-01_suffix-asl_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime__6	datatype-perf_run-01_suffix-asl_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime	6	PCASL	True	2.0	0.0		2.0		0.0	0.0	0.0	1	64	64	32	0.01		75	90	False	LAS+	Separate	perf		0	80	False	unbalanced		1.0		6.78522		False	3.75	3.75	3.75
				datatype-perf_run-01_suffix-asl_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime__7	datatype-perf_run-01_suffix-asl_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime	7	PCASL	True	2.0	0.0		4.0		0.0	0.0	0.0	1	64	64	32	0.01		75	90	False	LAS+	Separate	perf		0	80	False	unbalanced		1.0		4.36497		False	3.75	3.75	3.75
				datatype-perf_run-01_suffix-asl_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime__8	datatype-perf_run-01_suffix-asl_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime	8	PCASL	True	2.0	0.0		7.0		0.0	0.0	0.0	1	64	64	32	0.01		75	90	False	LAS+	Separate	perf		0	80	False	unbalanced		1.0		4.92427		False	3.75	3.75	3.75
				datatype-perf_run-01_suffix-asl_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime__9	datatype-perf_run-01_suffix-asl_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime	9	PCASL	True	2.0	0.0		3.0		0.0	0.0	0.0	1	64	64	32	0.01		75	90	False	LAS+	Separate	perf		0	80	False	unbalanced		1.0		5.62785		False	3.75	3.75	3.75
				datatype-perf_run-01_suffix-asl_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime__10	datatype-perf_run-01_suffix-asl_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime	10	PCASL	True	2.0	0.0		1.0		0.0	0.0	0.0	1	64	64	32	0.01		75	90	False	LAS+	Separate	perf		0	80	False	unbalanced		1.0		4.75427		False	3.75	3.75	3.75
				datatype-perf_run-01_suffix-m0scan_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime__1	datatype-perf_run-01_suffix-m0scan_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime	1				0.0		0.0		0.0	0.0	0.0	66	64	64	32	0.01		75	90	False	LAS+		perf		0	2	False			1.0		4.0		True	3.75	3.75	3.75
				datatype-perf_run-01_suffix-m0scan_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime__2	datatype-perf_run-01_suffix-m0scan_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime	2				0.0		9.0		0.0	0.0	0.0	1	64	64	32	0.01		75	90	False	LAS+		perf		0	2	False			1.0		4.9633		True	3.75	3.75	3.75
				datatype-perf_run-01_suffix-m0scan_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime__3	datatype-perf_run-01_suffix-m0scan_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime	3				0.0		5.0		0.0	0.0	0.0	1	64	64	32	0.01		75	90	False	LAS+		perf		0	2	False			1.0		5.5897		True	3.75	3.75	3.75
				datatype-perf_run-01_suffix-m0scan_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime__4	datatype-perf_run-01_suffix-m0scan_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime	4				0.0		6.0		0.0	0.0	0.0	1	64	64	32	0.01		75	90	False	LAS+		perf		0	2	False			1.0		4.1684		True	3.75	3.75	3.75
				datatype-perf_run-01_suffix-m0scan_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime__5	datatype-perf_run-01_suffix-m0scan_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime	5				0.0		8.0		0.0	0.0	0.0	1	64	64	32	0.01		75	90	False	LAS+		perf		0	2	False			1.0		5.4174		True	3.75	3.75	3.75
				datatype-perf_run-01_suffix-m0scan_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime__6	datatype-perf_run-01_suffix-m0scan_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime	6				0.0		2.0		0.0	0.0	0.0	1	64	64	32	0.01		75	90	False	LAS+		perf		0	2	False			1.0		6.4254		True	3.75	3.75	3.75
				datatype-perf_run-01_suffix-m0scan_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime__7	datatype-perf_run-01_suffix-m0scan_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime	7				0.0		4.0		0.0	0.0	0.0	1	64	64	32	0.01		75	90	False	LAS+		perf		0	2	False			1.0		4.0649		True	3.75	3.75	3.75
				datatype-perf_run-01_suffix-m0scan_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime__8	datatype-perf_run-01_suffix-m0scan_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime	8				0.0		7.0		0.0	0.0	0.0	1	64	64	32	0.01		75	90	False	LAS+		perf		0	2	False			1.0		4.6104		True	3.75	3.75	3.75
				datatype-perf_run-01_suffix-m0scan_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime__9	datatype-perf_run-01_suffix-m0scan_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime	9				0.0		3.0		0.0	0.0	0.0	1	64	64	32	0.01		75	90	False	LAS+		perf		0	2	False			1.0		5.2966		True	3.75	3.75	3.75
				datatype-perf_run-01_suffix-m0scan_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime__10	datatype-perf_run-01_suffix-m0scan_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime	10				0.0		1.0		0.0	0.0	0.0	1	64	64	32	0.01		75	90	False	LAS+		perf		0	2	False			1.0		4.4446		True	3.75	3.75	3.75
