participant_id,session_id,lh_euler,rh_euler,lh_holes,rh_holes,cortex_numvert_lh,cortex_pialsurfarea_lh,cortex_meanthickness_lh,cortex_numvert_rh,cortex_pialsurfarea_rh,cortex_meanthickness_rh,brainseg_brainsegvol,brainsegnotvent_brainsegvolnotvent,ventriclechoroidvol,lhcortex_lhcortexvol,rhcortex_rhcortexvol,cortex_cortexvol,lhcerebralwhitematter_lhcerebralwhitemattervol,rhcerebralwhitematter_rhcerebralwhitemattervol,cerebralwhitematter_cerebralwhitemattervol,subcortgray_subcortgrayvol,totalgray_totalgrayvol,supratentorial_supratentorialvol,supratentorialnotvent_supratentorialvolnotvent,mask_maskvol,lhsurfaceholes,rhsurfaceholes,surfaceholes,estimatedtotalintracranialvol_etiv
sub-21516,ses-1,-14.0,-2.0,8.0,2.0,134583.0,105056.0,2.833,137338.0,105693.0,2.82121,1192396.0,1180488.0,8863.0,284138.289029,285670.904873,569809.193902,204827.5,206917.5,411745.0,59397.0,744641.193902,1052594.0,1040686.0,1456321.0,8.0,2.0,10.0,1548296.022985
sub-21516,ses-2,-10.0,-20.0,6.0,11.0,127799.0,100217.0,2.74744,129484.0,101839.0,2.72737,1158407.0,1145457.0,9737.0,264331.379242,266132.63414,530464.013381,208368.0,210586.0,418954.0,59054.0,701153.013381,1021358.0,1008408.0,1440066.0,6.0,11.0,17.0,1525701.26041
sub-21539,ses-1,-12.0,-16.0,7.0,9.0,137244.0,108222.0,2.87838,137563.0,107607.0,2.86042,1244489.0,1226803.0,13476.0,295981.762354,293250.32069,589232.083044,216363.5,216714.5,433078.0,62676.0,770184.083044,1102669.0,1084983.0,1558665.0,7.0,9.0,16.0,1597683.17637
sub-21553,ses-1,-8.0,-6.0,5.0,4.0,128167.0,98220.5,2.82226,128105.0,98195.3,2.81283,1115898.0,1102652.0,10438.0,263425.278365,262565.713686,525990.992051,196787.5,194960.5,391748.0,51942.0,687380.992051,983412.0,970166.0,1355805.0,5.0,4.0,9.0,1348868.689464
sub-21553,ses-2,2.0,-8.0,0.0,5.0,127656.0,97168.3,2.73739,126709.0,96333.8,2.76649,1109729.0,1095571.0,11276.0,253661.455544,254470.652514,508132.108058,200756.5,200831.5,401588.0,51835.0,670593.108058,975715.0,961557.0,1357896.0,0.0,5.0,5.0,1379040.277178
sub-21554,ses-1,-18.0,-12.0,10.0,7.0,125173.0,97585.1,2.86639,124044.0,96956.3,2.86574,1083243.0,1076993.0,4259.0,265783.428104,263550.826063,529334.254167,183798.5,181998.5,365797.0,51053.0,686983.254167,953113.0,946863.0,1319716.0,10.0,7.0,17.0,1347759.467917
sub-21554,ses-2,-18.0,-10.0,10.0,6.0,123677.0,98029.8,2.77774,122849.0,96486.6,2.77677,1069213.0,1060769.0,5756.0,257883.897106,254103.601384,511987.49849,186708.0,184077.0,370785.0,51292.0,667417.49849,942609.0,934165.0,1310197.0,10.0,6.0,16.0,1379003.504359
sub-21560,ses-1,-24.0,-10.0,13.0,6.0,122882.0,98339.3,2.88099,122412.0,95862.6,2.87844,1178613.0,1160849.0,12257.0,270161.59972,264537.337934,534698.937654,208375.5,206478.5,414854.0,66047.0,717586.937654,1033199.0,1015435.0,1454788.0,13.0,6.0,19.0,1229859.537334
sub-21560,ses-2,-18.0,-12.0,10.0,7.0,124713.0,97646.1,2.82695,123414.0,95445.5,2.82463,1170685.0,1152110.0,13084.0,263338.71597,259172.6674,522511.38337,210621.0,209648.0,420269.0,65543.0,703703.38337,1026755.0,1008180.0,1440543.0,10.0,7.0,17.0,1205704.635665
sub-21567,ses-1,-20.0,-6.0,11.0,4.0,129663.0,103504.0,2.97406,129767.0,103625.0,2.95238,1193236.0,1175419.0,13711.0,291458.269529,290258.40232,581716.671849,200528.0,199662.0,400190.0,59048.0,751615.671849,1058768.0,1040951.0,1485555.0,11.0,4.0,15.0,1559367.559651
sub-21580,ses-1,-4.0,-10.0,3.0,6.0,136638.0,107708.0,2.95364,136168.0,108985.0,2.89304,1234964.0,1224796.0,7263.0,301812.115632,298741.779949,600553.895581,202100.5,202667.5,404768.0,66065.0,791786.895581,1081218.0,1071050.0,1511998.0,3.0,6.0,9.0,1566892.658114
sub-21580,ses-2,-6.0,-12.0,4.0,7.0,137736.0,107190.0,2.88801,138275.0,107867.0,2.83375,1228944.0,1218003.0,7629.0,295162.098693,290648.241016,585810.339708,206464.0,204107.0,410571.0,65816.0,780280.339708,1072876.0,1061935.0,1516785.0,4.0,7.0,11.0,1616219.657758
